"Throttle", "Brake", "Gear", "Boost", "RPM", "Speed"
0, 75.164216756821, 4, 0, 6982.5146484375, 156.60739788989
0, 73.847371339798, 4, 0, 6883.2768554688, 154.74027147451
0, 72.2052693367, 4, 0, 6754.4360351563, 151.72289026783
0, 72.2052693367, 4, 0, 6686.8603515625, 149.88380645424
40.000000596046, 71.378946304321, 0, 0, 6778.1171875, 147.43844213914
40.000000596046, 71.378946304321, 3, 0, 7061.2817382813, 145.29499584582
40.000000596046, 71.378946304321, 3, 0, 7481.7250976563, 142.98752367794
0, 69.326323270798, 3, 0, 7833.9770507813, 141.00057762462
13.333334028721, 68.089473247528, 3, 0, 7857.7368164063, 139.12662595307
32.000002264977, 67.678958177567, 3, 0, 7772.3588867188, 136.73324070154
40.000000596046, 67.596852779388, 3, 0, 7692.134765625, 135.16579384365
0, 67.268425226212, 3, 0, 7528.7075195313, 132.84213057512
0, 67.268425226212, 3, 0, 7421.8251953125, 131.59942583509
0, 64.389479160309, 3, 0, 7241.3051757813, 128.95862848074
0, 64.389479160309, 3, 0, 7113.27734375, 126.87037475188
0, 63.568431138992, 3, 0, 6960.6860351563, 124.45880712777
0, 63.157898187637, 3, 0, 6893.2241210938, 123.26703775016
0, 63.157898187637, 3, 0, 6715.6762695313, 119.79875018335
0, 62.583160400391, 3, 0, 6584.9282226563, 117.68748009768
0, 61.428421735764, 3, 0, 6459.5698242188, 116.06470334623
0, 61.510527133942, 3, 0, 6288.5854492188, 113.84845889811
0, 61.100006103516, 3, 0, 6168.2802734375, 111.75150537089
0, 58.84211063385, 3, 0, 6046.826171875, 109.40634323209
0, 59.047377109528, 3, 0, 5942.5102539063, 107.26024648719
0, 58.636844158173, 3, 0, 5847.7197265625, 105.52514826655
0, 56.414741277695, 3, 0, 5723.8686523438, 103.29546616619
0, 54.93158698082, 3, 0, 5651.2065429688, 101.32607763804
0, 52.057898044586, 3, 0, 5539.4541015625, 98.442111649987
0, 50.821053981781, 3, 0, 5431.3208007813, 96.390675852281
0, 41.139999032021, 3, 0, 5317.84765625, 94.419680573684
0, 15.913684666157, 3, 0, 5245.142578125, 92.413254387822
0, 7.3921069502831, 3, 0, 5176.279296875, 90.868171573528
0, 0, 3, 0, 5124.2177734375, 89.522449410691
0, 0, 3, 0, 5069.7436523438, 88.419229835425
0, 0, 3, 0, 4984.8227539063, 87.579311339608
0, 0, 3, 0, 4923.1450195313, 86.791110982071
0, 0, 3, 0, 4858.9755859375, 85.722134417371
0, 0, 3, 0, 4808.7119140625, 84.942956581567
11.401056498289, 0, 3, 0, 4817.4067382813, 83.86953742055
28.273686766624, 0, 3, 0, 4907.3544921875, 83.429116137051
40.594738721848, 0, 3, 0, 4984.7534179688, 83.19398812204
53.453689813614, 0, 3, 0, 5045.2490234375, 83.171012963957
64.885264635086, 0, 3, 0, 5093.626953125, 83.264067160711
76.726317405701, 0, 3, 0, 5206.1049804688, 83.48809898461
87.142109870911, 0, 3, 0, 5308.6176757813, 83.839002295626
93.830537796021, 0, 3, 0, 5385.1586914063, 84.23510061277
100, 0, 3, 0, 5459.5571289063, 84.67709431444
100, 0, 3, 0, 5551.109375, 85.107909427539
100, 0, 3, 0, 5617.8833007813, 85.541196464401
100, 0, 3, 0, 5667.3022460938, 85.959253704303
100, 0, 3, 0, 5821.998046875, 86.378766632643
100, 0, 3, 0, 6005.8359375, 86.486988828262
100, 0, 3, 0, 6199.9658203125, 86.595719141544
100, 0, 3, 0, 6325.6762695313, 86.803889454633
100, 0, 3, 0, 6448.3813476563, 87.022009260866
100, 0, 3, 0, 6543.0874023438, 87.332537817093
100, 0, 3, 0, 6662.4912109375, 87.669309963933
100, 0, 3, 0, 6734.03515625, 88.135205795097
100, 0, 3, 0, 6816.6508789063, 88.861759120577
100, 0, 3, 0, 6857.4897460938, 89.601496039457
100, 0, 3, 0, 6788.0859375, 90.575131877922
92.270535230637, 0, 3, 0, 6679.7607421875, 91.726464702647
73.436844348907, 0, 3, 0, 6414.56640625, 93.2034734831
73.026323318481, 0, 3, 0, 5997.6323242188, 94.852068104954
87.109220027924, 0, 3, 0, 5971.1596679688, 96.334714244877
97.284215688705, 0, 3, 0, 6207.4619140625, 97.103201010407
